Token,"Price ($) (02 May, 12:48 UTC)",Reported Market Cap,Released %,Upcoming Unlock Value
ATH,0.085,732.61K,18.87%,$6.08K
FORT,0.015,9.75M,61.54%,$770.81
GFAL,0.000536,2.82M,67.29%,$25.70K
HONEY,0.001808,10.58M,72.94%,$62.73K
WMTX,0.065,55.63M,53.61%,$325.74K
CYPR,0.008319,820.61K,10.35%,$19.20K
HMX,0.054,246.42K,78.04%,$7.75K
CXT,0.005283,5.28M,66.54%,$22.01K
MMT,0.13,26.57M,5.63%,$641.84K
ACS,0.000176,8.37M,10.44%,$48.37K
NEXT,—,1.55M,42.59%,$0.00
DEVVE,0.04,3.47M,35.25%,$33.15K
SVL,0.007755,14.03M,87.06%,$37.28K
Ethena,0.101,883.34M,53.66%,$17.34M
OPN,0.161,22.77M,26.27%,$5.15M
AURORA,0.026,18.50M,51.31%,$140.72K
DCK,0.000111,78.47K,94.86%,$503.99
ACE,0.118,11.26M,66.19%,$48.71K
MAVIA,0.037,9.01M,37.62%,$437.80K
HYPE,41.57,9.90B,42.52%,$17.54M
NAVX,0.008756,7.15M,84.51%,$25.42K
RED,0.131,48.86M,33.49%,$5.37M
HFT,0.014,11.47M,80.66%,$169.70K
NTX,0.0036,3.11M,96.95%,$9.15K
IN,0.068,21.08M,31.63%,$397.92K
BB,0.032,12.88M,53.09%,$948.52K
NYAN,0.000523,76.60K,27.10%,$1.03K
NYM,0.02,16.91M,90.71%,$37.34K
SXT,0.016,42.33M,33.42%,$6.31M
MLK,0.051,27.97M,77.42%,$98.33K
VRTX,0.000117,61.83K,69.73%,$936.16
MOVE,0.017,64.18M,35.08%,$2.87M
BABY,0.017,67.78M,17.01%,$2.38M
COPI,0.003305,3.41M,53.00%,$50.77K
ME,0.104,53.77M,49.54%,$1.12M
TRUF,0.006181,3.22M,51.47%,$33.13K
LINEA,0.003569,88.90M,37.92%,$4.93M
BASED,0.112,26.37M,24.50%,$5.60M
AGI,0.01,25.43M,75.26%,$699.77K
GODS,0.035,13.85M,82.97%,$91.57K
IO,0.119,39.24M,41.94%,$1.58M
LAYER,0.083,17.43M,36.86%,$2.24M
Avalanche,9.09,3.92B,74.44%,$15.15M
DCB,0.000079,32.11K,93.57%,$648.43
PEAQ,0.017,36.00M,37.01%,$1.48M
PUFFER,0.023,10.24M,21.31%,$447.49K
CHEEL,0.431,—,78.77%,$2.77M
HTM,0.013,1.02M,83.33%,$4.47K
IOTA,0.055,241.93M,84.62%,$676.85K
GSWIFT,0.000743,344.37K,43.35%,$4.03K
HOOK,0.007975,2.27M,72.00%,$33.23K
XCN,0.005191,198.24M,79.11%,$1.54M
WCT,0.062,11.52M,38.81%,$780.15K
CONX,13.25,30.61M,88.60%,$17.52M
FUN,0.045,8.08M,24.64%,$852.01K
GAL,0.322,41.09M,89.33%,$188.70K
STRK,0.039,231.92M,31.39%,$4.99M
TRIBL,0.000045,682.22M,91.83%,$428.44
CYBER,0.832,47.41M,65.95%,$737.67K
W,0.013,74.10M,58.00%,$642.34K
SEI,0.058,389.79M,58.03%,$3.22M
Arbitrum,0.122,749.51M,54.09%,$11.29M
ASTR,0.007961,68.50M,55.83%,$77.40K
FLIX,0.003464,1.79M,56.86%,$30.61K
YALA,0.000432,124.67K,25.69%,$4.42K
ZK,0.015,149.62M,29.40%,$2.67M
SOLV,0.004548,6.74M,36.51%,$2.77M
BMT,0.015,3.91M,63.14%,$149.50K
KAT,0.009971,23.26M,25.32%,$1.76M
MMX,0.01,1.80M,52.17%,$17.49K
ROSE,0.01,76.88M,65.86%,$567.53K
PYR,0.273,12.60M,64.92%,$10.85K
YZY,0.305,39.58M,46.67%,$6.36M
ZKJ,0.014,6.81M,50.42%,$372.99K
PIXEL,0.007829,6.04M,54.74%,$713.84K
Pyth Network,0.047,267.48M,57.50%,$98.86M
LayerZero,1.39,350.07M,50.71%,$35.73M
KAITO,0.465,112.30M,37.43%,$8.19M
DMC,0.000692,4.50M,50.87%,$267.80K
SLF,0.000416,69.47K,70.62%,$632.32
ID,0.032,13.60M,71.57%,$312.46K
UDS,1.61,201.17M,75.14%,$3.47M
VOXEL,0.006518,1.60M,84.44%,$6.52K
LMTS,0.107,14.19M,21.69%,$1.35M
MBG,0.3,79.63M,35.80%,$8.15M
KARRAT,0.003925,3.21M,35.38%,$59.29K
XMW,0.000251,182.53K,88.62%,$2.58K
AVAIL,0.00398,15.15M,46.33%,$876.46K
SOON,0.174,59.07M,47.60%,$3.80M
ANIME,0.004707,26.07M,72.60%,$614.21K
MET,0.159,81.95M,52.38%,$1.17M
DOLO,0.031,14.46M,24.82%,$436.63K
GAU,0.000214,81.38K,87.58%,$251.13
NEWT,0.074,15.84M,36.87%,$460.51K
WIFI,0.000401,236.68K,85.08%,$1.67K
SOSO,0.423,131.98M,31.95%,$5.63M
INIT,0.088,17.10M,26.72%,$554.50K
NIL,0.041,18.21M,44.84%,$792.66K
ACA,0.000665,775.52K,56.39%,$3.10K
GGP,0.064,508.98K,45.12%,$4.49K
GTAI,0.022,901.22K,91.61%,$14.35K
H,0.189,345.38M,27.27%,$19.94M
VENOM,0.019,41.85M,38.75%,$1.44M
ALT,0.007549,46.52M,61.53%,$1.81M
PARTI,0.04,9.40M,54.82%,$374.96K
XPL,0.091,228.81M,24.10%,$8.12M
MIRA,0.081,22.90M,24.56%,$847.94K
SAHARA,0.023,75.41M,32.74%,$3.06M
HUMA,0.022,37.90M,22.89%,$10.03M
BLAST,0.000493,29.90M,39.94%,$431.57K
ALOT,0.041,2.60M,56.16%,$3.06K
FT,0.0023,201.21K,99.44%,$638.97
YGG,0.041,30.56M,92.46%,$363.70K
DICE,0.000879,—,72.29%,$879.32
AGIX,0.086,21.13M,79.81%,$522.35K
STIK,0.252,—,31.21%,$395.81K
SIGN,0.016,30.06M,23.31%,$1.73M
SOPH,0.008719,28.12M,31.49%,$1.48M
TREE,0.068,10.59M,35.51%,$445.14K
BIM,2.17,34.18M,88.52%,$74.58K
MILK,0.000706,183.60K,24.78%,$7.73K
CELO,0.09,54.25M,59.92%,$18.82K
ZORA,0.013,55.88M,48.33%,$2.09M
REZ,0.004812,40.60M,77.08%,$401.00K
KMNO,0.022,99.81M,72.50%,$5.08M
PRIME,0.36,22.50M,49.16%,$158.95K
NUM,0.004339,3.86M,77.56%,$19.09K
OP,0.121,259.23M,48.53%,$3.78M
GUN,0.014,25.67M,24.39%,$5.08M
MANTA,0.069,32.07M,62.32%,$128.55K
BMEX,0.087,8.66M,90.97%,$271.39K
DYDX,0.145,122.06M,76.29%,$606.15K
GPS,0.007647,33.72M,42.91%,$1.27M
SIDUS,0.000028,305.73K,78.13%,$4.33K
SKL,0.006829,41.65M,88.46%,$109.55K
AI,0.022,2.91M,55.87%,$370.26K
SPEC,0.083,1.71M,53.97%,$300.08K
Sui,0.917,3.67B,40.01%,$13.17M
ZETA,0.056,79.84M,67.00%,$2.50M
EIGEN,0.177,130.20M,33.58%,$6.51M